Task ID,Task Name,Description,Start Date,End Date,Duration (Days),Predecessors,Resources,Completion %,Phase,Building Area,Priority,Notes
1,Project Initiation,Initial project setup and mobilization,2025-06-01,2025-06-15,15,,Project Manager,100,Initiation,All,High,Includes permit acquisition and site preparation
2,Site Preparation,Clear site and establish temporary facilities,2025-06-16,2025-06-30,15,1,Site Crew,0,Site Work,All,High,Set up construction trailers and utilities
3,Excavation,Excavate foundation and basement areas,2025-07-01,2025-07-15,15,2,Excavation Team,0,Foundation,Basement,High,Includes soil removal and shoring
4,Foundation - Basement Area,Pour concrete foundation for basement level,2025-07-16,2025-08-05,21,3,Foundation Crew,0,Foundation,Basement,High,Requires concrete curing time
5,Basement Structure,Construct basement walls and structural elements,2025-08-06,2025-08-26,21,4,Structural Team,0,Structure,Basement,High,Includes waterproofing
6,Ground Floor Structure,Construct ground floor structural elements,2025-08-27,2025-09-16,21,5,Structural Team,0,Structure,Floor 0,High,Includes main entrance areas
7,First Floor Structure,Construct first floor structural elements,2025-09-17,2025-10-07,21,6,Structural Team,0,Structure,Floor 1,High,Includes office spaces
8,Second Floor Structure,Construct second floor structural elements,2025-10-08,2025-10-28,21,7,Structural Team,0,Structure,Floor 2,High,Includes laboratory areas
9,Third Floor Structure,Construct third floor structural elements,2025-10-29,2025-11-18,21,8,Structural Team,0,Structure,Floor 3,High,Includes residential units
10,Roof Structure,Construct roof and penthouse structural elements,2025-11-19,2025-12-09,21,9,Structural Team,0,Structure,Floor 4,High,Includes mechanical penthouse
11,Building Envelope - Main Structure,Install exterior walls and windows on all floors,2025-12-10,2026-01-20,42,"6,7,8,9,10",Envelope Crew,0,Envelope,All,High,Weather barrier critical for interior work
12,Roofing,Install roofing systems and waterproofing,2025-12-15,2026-01-04,21,10,Roofing Crew,0,Envelope,Floor 4,High,Weather-dependent task
13,Basement MEP Rough-in,Install mechanical electrical plumbing systems in basement,2026-01-05,2026-01-25,21,5,MEP Team,0,MEP,Basement,Medium,Includes electrical room setup
14,Ground Floor MEP Rough-in,Install MEP systems on ground floor,2026-01-26,2026-02-15,21,"6,11",MEP Team,0,MEP,Floor 0,Medium,Includes main distribution
15,First Floor MEP Rough-in,Install MEP systems on first floor,2026-02-16,2026-03-08,21,"7,11,14",MEP Team,0,MEP,Floor 1,Medium,Office space requirements
16,Second Floor MEP Rough-in,Install MEP systems on second floor,2026-03-09,2026-03-29,21,"8,11,15",MEP Team,0,MEP,Floor 2,Medium,Laboratory special requirements
17,Third Floor MEP Rough-in,Install MEP systems on third floor,2026-03-30,2026-04-19,21,"9,11,16",MEP Team,0,MEP,Floor 3,Medium,Residential requirements
18,Roof/Penthouse MEP Installation,Install MEP systems in roof and penthouse areas,2026-04-20,2026-05-10,21,"10,12,17",MEP Team,0,MEP,Floor 4,Medium,HVAC equipment installation
19,Elevator Installation,Install elevator systems throughout building,2026-02-16,2026-04-05,50,"5,6,7,8,9,10",Elevator Contractor,0,Vertical Transport,All,Medium,Long lead item
